het_1_14 charge%2:38:01:: alleged%5:00:00:declared:00
het_1657_11 magnitude%1:24:00:: coo%2:32:01::
het_1658_24 ray%1:25:00:: bay%1:17:00::
het_1659_7 agree%2:32:00:: rashly%4:02:03::
het_1660_1 turn%2:35:11:: mourning%1:26:00::
het_1661_10 mime%1:18:00:: grime%2:35:00::
het_1662_14 cheaply%4:02:00:: sheepishly%4:02:00::
het_1663_18 head%2:42:04:: leafing%1:22:00::
het_1665_15 bass%1:06:02:: cymbal%1:06:00::
het_1666_16 faintly%4:02:00:: vainly%4:02:00::
het_1671_9 shape%2:36:00:: roll%1:04:00::
het_1674_15 china%1:15:00:: korea%1:15:00::
het_1678_28 quiet%2:39:00:: mute%5:00:00:inarticulate:00
het_1679_19 strike%2:38:08:: lichen%1:20:00::
het_1683_6 outline%1:09:00:: serpentine%5:00:00:curved:00
het_1685_22 stock%1:21:00:: doc%1:18:00::
het_1686_7 accede%2:41:00:: knead%2:35:00::
het_1687_21 outline%1:09:00:: brine%1:27:00::
het_1690_8 reason%2:31:00:: eon%1:28:01::
het_1691_9 grand%5:00:00:large:00 dam%2:35:00::
het_1694_8 inclination%1:09:00:: yearning%1:12:00::
het_1697_23 grand%5:00:00:large:00 band%1:06:00::
het_1698_9 communion%1:04:01:: surplice%1:06:00::
het_1699_10 deep%5:00:00:large:00 waist%1:08:00::
het_1700_7 hz%1:28:00:: hertz%1:18:00::
het_1702_21 touchstone%1:10:00:: throne%1:06:01::
het_1703_15 balance%1:06:00:: kilter%1:26:00::
het_1704_13 jarringly%4:02:00:: gratingly%4:02:00::
het_1707_12 mayan%1:18:00:: inca%1:18:00::
het_1708_18 piece%1:10:01:: pizza%1:13:00::
het_1709_7 woman%1:18:00:: wife%1:18:00::
het_1710_8 break%2:30:04:: yolk%1:05:00::
het_1711_14 mold%2:36:01:: husky%5:00:00:cacophonous:00
het_1714_6 twang%2:39:01:: drawl%2:32:00::
het_1718_15 spill%2:35:01:: kilt%1:06:00::
het_1719_11 loyally%4:02:00:: loyally%4:02:00::
het_1721_13 presuppose%2:31:01:: principal%1:18:03::
het_1722_8 taste%1:13:00:: sense%1:10:00::
het_1723_12 poem%1:10:00:: boa%1:05:00::
het_1726_14 number%1:07:00:: data%1:14:00::
het_1728_5 node%1:06:00:: lymph%1:08:00::
het_1729_6 ukulele%1:06:00:: gravely%4:02:00::
het_1730_12 free%2:32:00:: aweigh%5:00:00:up:00
het_1731_9 accept%2:40:01:: swallow%1:05:00::
het_1732_8 second%5:00:00:ordinal:00 peasant%1:18:03::
het_1734_14 deal%1:23:00:: veal%1:13:00::
het_1735_9 accurately%4:02:01:: appropriately%4:02:00::
het_1736_16 scores%1:23:00:: pear%1:13:00::
het_1738_11 vessel%1:06:00:: buoy%1:10:00::
het_1740_14 plurality%1:23:01:: mechanically%4:02:01::
het_1742_7 action%1:22:00:: canon%1:10:00::
het_1744_11 ramp%2:39:00:: rasp%2:35:00::
het_1746_4 deficiency%1:07:00:: fault%1:04:00::
het_1749_9 divisor%1:23:01:: incisor%1:08:00::
het_1750_10 conclude%2:32:01:: recluse%1:18:00::
het_1751_6 cheaply%4:02:00:: sheepishly%4:02:00::
het_1752_12 present%2:32:03:: presently%4:02:00::
het_1755_13 high%3:00:03:: aloud%4:02:01::
het_1756_8 danger%1:04:00:: peril%1:26:00::
het_1761_5 nose%1:23:00:: hoe%1:06:00::
het_1762_8 multitude%1:23:00:: altitude%1:07:00::
het_1763_7 blase%5:00:00:unconcerned:00 sunday%1:28:00::
het_1765_8 sleep%1:28:00:: valium%1:06:00::
het_1766_13 simply%4:02:03:: bluntly%4:02:00::
het_1767_18 corneille%1:18:00:: colonel%1:18:00::
het_1768_7 rhyme%1:10:01:: thyme%1:20:00::
het_1769_8 small%3:00:00:: relatively%4:02:00::
het_1771_12 patronize%2:40:00:: sigh%1:11:00::
het_1772_1 evilly%4:02:00:: naughtily%4:02:00::
het_1773_17 bear%2:40:02:: sore%1:26:00::
het_1774_16 view%2:31:00:: queue%1:14:00::
het_1778_15 poop%1:18:00:: ordure%1:27:00::
het_1779_6 be%2:42:03:: anagram%1:10:00::
het_1780_14 refine%2:30:03:: whine%2:38:00::
