het_1_14	allege%2:32:00::	distribute%2:40:00::
het_1625_16	collar%2:35:01::	basement%1:06:00::
het_1626_6	sturgeon%1:05:00::	surgeon%1:18:00::
het_1627_14	wistfully%4:02:00::	pensive%5:00:00:sad:00
het_1629_12	puck%1:06:00::	muck%2:30:01::
het_1630_12	dirty%2:35:00::	grim%5:00:00:implacable:00
het_1631_19	presciently%4:02:00::	can%2:30:00::
het_1633_5	toilet%1:06:01::	drone%2:32:00::
het_1634_20	galleon%1:06:00::	gallop%2:38:00::
het_1635_34	paneling%1:06:00::	pine%1:20:00::
het_1636_14	dolefully%4:02:00::	doleful%5:00:00:sad:00
het_1637_8	pea%1:20:00::	deoxyadenosine_monophosphate%1:27:00::
het_1638_8	pea%1:20:00::	peal%1:11:00::
het_1639_11	dinghy%1:06:00::	dirty%5:00:00:impure:02
het_1640_12	write%2:36:10::	banal%5:00:01:unoriginal:00
het_1642_14	soon%4:02:00::	stage%2:36:00::
het_1643_10	presence%1:04:00::	preserve%1:15:00::
het_1644_9	rent%2:41:00::	leave%2:42:03::
het_1645_7	sage%1:20:00::	page%2:41:00::
het_1647_12	smell%1:09:02::	moor%2:35:03::
het_1648_16	tier%1:18:00::	tiger%1:05:00::
het_1651_10	protractor%1:06:00::	prolongation%1:04:00::
het_1653_13	mist%1:19:00::	miss%1:10:00::
het_1654_12	tier%1:18:00::	bier%1:06:00::
het_1656_14	sine%1:24:00::	pine%1:20:00::
het_1657_11	coo%1:11:00::	black-backed_gull%1:05:00::
het_1658_24	bay%5:00:00:colored:00	nay%1:10:00::
het_1659_7	headlong%4:02:01::	watery%5:00:00:diluted:00
het_1661_10	dirty%2:35:00::	grim%5:00:00:implacable:00
het_1662_14	sheepishly%4:02:00::	sheeplike%5:00:00:docile:00
het_1663_18	leaf%1:06:00::	star%1:18:00::
het_1665_15	cymbal%1:06:00::	camel%1:05:00::
het_1666_16	vainly%4:02:00::	chiefly%4:02:00::
het_1671_9	wheel%2:38:02::	roil%2:35:00::
het_1674_15	korea%1:15:00::	aorta%1:08:00::
het_1678_28	mute%1:06:00::	touch%1:23:00::
het_1679_19	lichen%1:20:00::	relieve%2:30:05::
het_1683_6	serpentine%5:00:00:curved:00	turpentine%1:27:01::
het_1685_22	doctor%1:18:00::	department_of_energy%1:14:00::
het_1686_7	massage%2:35:00::	plead%2:32:01::
het_1687_21	brine%1:13:00::	bribe%1:21:00::
het_1690_8	eon%1:18:00::	thus%4:02:01::
het_1691_9	decameter%1:23:00::	damp%1:26:00::
het_1694_8	ache%2:37:06::	hold%2:35:02::
het_1697_23	ring%2:35:00::	hired_hand%1:18:00::
het_1698_9	surplice%1:06:00::	source%1:22:00::
het_1699_10	waist%1:08:00::	tease%2:32:00::
het_1700_7	hertz%1:18:00::	here%5:00:00:present:02
het_1702_21	toilet%1:06:01::	throe%1:26:02::
het_1703_15	kilter%1:26:00::	filter%2:35:00::
het_1704_13	gratingly%4:02:00::	grate%2:35:00::
het_1707_12	inca%1:18:00::	ana%1:14:00::
het_1708_18	pizza%1:13:00::	plaza%1:15:00::
het_1709_7	wife%1:18:00::	wise%1:07:00::
het_1710_8	yolk%1:05:00::	rock_'n'_roll%1:10:00::
het_1711_14	gruff%5:00:00:cacophonous:00	twilight%1:28:00::
het_1714_6	drawl%1:10:00::	crawl%1:04:01::
het_1718_15	kilt%1:06:00::	slit%2:35:00::
het_1719_11	loyally%4:02:00::	commitment%1:04:00::
het_1721_13	star%1:18:00::	ironic%5:00:00:incongruous:00
het_1722_8	sense%1:09:06::	rinse%1:04:01::
het_1723_12	feather_boa%1:06:00::	bog%1:17:00::
het_1726_14	data%1:14:00::	teammate%1:18:00::
het_1728_5	lymph%1:08:00::	nymph%1:18:01::
het_1729_6	gravely%4:02:00::	perplex%2:31:00::
het_1730_12	aweigh%5:00:00:free:00	weigh%2:42:01::
het_1731_9	swallow%1:13:00::	sallow%2:30:00::
het_1732_8	peasant%1:18:02::	pedant%1:18:00::
het_1734_14	veal%1:13:00::	hand%1:14:00::
het_1735_9	appropriately%4:02:00::	appropriate%3:00:00::
het_1736_16	pear%1:20:00::	point%1:25:00::
het_1738_11	buoy%2:32:00::	bury%2:41:00::
het_1740_14	mechanically%4:02:00::	mechanical%3:01:00::
het_1742_7	canyon%1:17:00::	canyon%1:17:00::
het_1744_11	rasp%2:32:00::	wasp%1:05:00::
het_1746_4	mistake%1:04:00::	faulty%5:00:00:inaccurate:00
het_1749_9	incisor%1:08:00::	incise%2:35:00::
het_1750_10	recluse%5:00:00:unsocial:00	recumb%2:35:00::
het_1751_6	sheepishly%4:02:00::	sheeplike%5:00:00:docile:00
het_1752_12	soon%4:02:00::	stage%2:36:00::
het_1755_13	loudly%4:02:00::	about%4:02:02::
het_1756_8	riskiness%1:26:00::	license%1:04:00::
het_1761_5	hoe%2:36:00::	department_of_energy%1:14:00::
het_1762_8	elevation%1:24:00::	aptitude%1:09:00::
het_1765_8	diazepam%1:06:00::	value%2:31:03::
het_1766_13	bluffly%4:02:00::	blindly%4:02:01::
het_1767_18	colonel%1:18:00::	conclusion%1:10:00::
het_1768_7	thyme%1:13:00::	theme%2:40:00::
het_1769_8	relatively%4:02:00::	relative%1:05:00::
het_1771_12	sigh%2:32:01::	sight%2:39:03::
het_1772_1	badly%4:02:05::	disdainful%5:00:00:proud:00
het_1773_17	sore%1:26:00::	surely%4:02:00::
het_1774_16	queue%1:08:00::	question%2:32:00::
het_1778_15	fecal_matter%1:27:00::	greenness%1:07:02::
het_1779_6	anagram%2:31:00::	jam%2:35:00::
het_1780_14	whine%2:39:00::	chine%2:35:00::
